id_celda,pct_bosque,dist_rio_m,dist_via_m
G001,52.0,177.0,707.0
G002,50.1,207.0,969.0
G003,27.1,90.0,866.0
G004,54.7,546.0,182.0
G005,43.9,292.0,41.0
G006,84.2,494.0,692.0
G007,71.3,322.0,216.0
G008,54.4,195.0,477.0
G009,71.7,261.0,698.0
G010,46.5,219.0,53.0
G011,81.3,321.0,10.0
G012,54.9,252.0,547.0
G013,69.6,266.0,492.0
G014,22.7,72.0,416.0
G015,63.7,175.0,490.0
G016,12.8,618.0,256.0
G017,4.1,199.0,86.0
G018,47.4,130.0,437.0
G019,32.5,381.0,227.0
G020,59.1,573.0,53.0
G021,100.0,58.0,611.0
G022,34.2,282.0,464.0
G023,39.4,206.0,586.0
G024,60.1,10.0,223.0
G025,67.3,452.0,309.0
G026,50.6,316.0,220.0
G027,49.9,333.0,249.0
G028,72.6,185.0,531.0
G029,68.0,402.0,276.0
G030,29.2,223.0,573.0
G031,53.0,294.0,568.0
G032,55.9,121.0,1007.0
G033,28.6,101.0,118.0
G034,61.5,560.0,711.0
G035,33.6,229.0,457.0
G036,79.3,373.0,476.0
G037,59.8,314.0,103.0
G038,57.2,241.0,360.0
G039,40.2,229.0,673.0
G040,52.0,433.0,459.0
G041,5.1,266.0,501.0
G042,26.7,293.0,404.0
G043,64.1,324.0,780.0
G044,1.8,532.0,474.0
G045,76.2,442.0,10.0
G046,11.3,389.0,300.0
G047,73.9,219.0,10.0
G048,33.9,71.0,10.0
G049,74.5,491.0,342.0
G050,58.3,494.0,827.0
G051,16.6,295.0,492.0
G052,86.2,418.0,175.0
G053,91.0,461.0,235.0
G054,53.4,470.0,774.0
G055,48.2,486.0,521.0
G056,51.0,238.0,492.0
G057,30.6,593.0,466.0
G058,82.5,96.0,490.0
G059,41.4,475.0,689.0
G060,53.7,409.0,624.0
