sitio,visita,especie,detectado
C01,1,Dicotyles tajacu,0
C01,2,Dicotyles tajacu,1
C01,3,Dicotyles tajacu,1
C01,4,Dicotyles tajacu,0
C01,5,Dicotyles tajacu,0
C02,1,Dicotyles tajacu,0
C02,2,Dicotyles tajacu,0
C02,3,Dicotyles tajacu,0
C02,4,Dicotyles tajacu,0
C02,5,Dicotyles tajacu,0
C03,1,Dicotyles tajacu,0
C03,2,Dicotyles tajacu,1
C03,3,Dicotyles tajacu,0
C03,4,Dicotyles tajacu,0
C03,5,Dicotyles tajacu,0
C04,1,Dicotyles tajacu,0
C04,2,Dicotyles tajacu,1
C04,3,Dicotyles tajacu,1
C04,4,Dicotyles tajacu,1
C04,5,Dicotyles tajacu,1
C05,1,Dicotyles tajacu,0
C05,2,Dicotyles tajacu,0
C05,3,Dicotyles tajacu,0
C05,4,Dicotyles tajacu,0
C05,5,Dicotyles tajacu,0
C06,1,Dicotyles tajacu,0
C06,2,Dicotyles tajacu,0
C06,3,Dicotyles tajacu,0
C06,4,Dicotyles tajacu,0
C06,5,Dicotyles tajacu,0
C07,1,Dicotyles tajacu,0
C07,2,Dicotyles tajacu,1
C07,3,Dicotyles tajacu,0
C07,4,Dicotyles tajacu,1
C07,5,Dicotyles tajacu,0
C08,1,Dicotyles tajacu,0
C08,2,Dicotyles tajacu,1
C08,3,Dicotyles tajacu,0
C08,4,Dicotyles tajacu,0
C08,5,Dicotyles tajacu,1
C09,1,Dicotyles tajacu,0
C09,2,Dicotyles tajacu,0
C09,3,Dicotyles tajacu,0
C09,4,Dicotyles tajacu,0
C09,5,Dicotyles tajacu,0
C10,1,Dicotyles tajacu,0
C10,2,Dicotyles tajacu,0
C10,3,Dicotyles tajacu,0
C10,4,Dicotyles tajacu,0
C10,5,Dicotyles tajacu,0
C11,1,Dicotyles tajacu,0
C11,2,Dicotyles tajacu,0
C11,3,Dicotyles tajacu,0
C11,4,Dicotyles tajacu,0
C11,5,Dicotyles tajacu,0
C12,1,Dicotyles tajacu,1
C12,2,Dicotyles tajacu,1
C12,3,Dicotyles tajacu,0
C12,4,Dicotyles tajacu,0
C12,5,Dicotyles tajacu,1
